experiment_id,description,model_name,metric_name,metric_value,improved,duration_s,commit,notes
0,"baseline: LightGBM on char_wb TF-IDF (ngram 3-6, 200k features) with inverse-frequency sample weights to handle severe class 2 imbalance (~2.3%) in this automotive text classification task",,macro_f1,0.516446,true,470.2,c323534,
1,Switch to LinearSVC with combined word (1-2 gram) + char_wb (3-6 gram) TF-IDF features (300k total) and class_weight='balanced' — linear SVMs excel on sparse high-dim text and word n-grams capture automotive vocabulary that char n-grams miss,,macro_f1,0.495927,false,95.2,,
2,"Add word (1-2) n-grams alongside char_wb (3-6) features (300k total), 5x oversample minority class 2 (~915→4575 train samples) to fix the core 21:1 imbalance, tune LightGBM params (lr=0.05, num_leaves=127, min_child_samples=5) — targeting dramatic improvement on class 2 F1 which is dragging macro_f1 below 0.52",,macro_f1,0.500733,false,1294.1,,
3,"Switch to Logistic Regression (saga solver, C=1.0, class_weight='balanced', multinomial) with same char_wb TF-IDF (3-4, 50k) as best baseline — LR provides cleaner convex optimization over the sparse high-dim features and hasn't been tried yet, while word n-grams and oversampling have both been shown to hurt performance",,macro_f1,0.442177,false,265.9,,
4,"Return to best exp0 baseline (char_wb 3-6, 200k, inverse-freq sample weights) and improve LightGBM: num_leaves=255, min_child_samples=5 (critical for 914-sample minority class), lr=0.05 with 500 rounds, feature_fraction=0.5, plus custom macro_F1 metric for early stopping to optimize the target metric directly",,macro_f1,0.534886,true,466.9,23a9bca,
5,"Switch to fine-tuned distilbert-base-uncased (mean-pool + weighted CrossEntropyLoss, AMP, 3 epochs, LR=2e-5) — TF-IDF has plateaued at 0.535 and a pretrained transformer should capture automotive semantics much better, especially for the rare class 2",,macro_f1,0.218307,false,700.1,,
6,"Balanced bagging ensemble — 30 LightGBMs each trained on perfectly balanced subsets (n_minority × 3 = ~2742 samples per model via stratified undersampling of majority classes), soft-voted; directly fixes the 21:1 class-2 imbalance without threshold calibration, using same proven char_wb TF-IDF (3-6, 200k) features",,macro_f1,,false,0.1,,SyntaxError: invalid decimal literal
7,"Two-stage LightGBM (class2-vs-rest binary with scale_pos_weight=10 + class0-vs-class1 binary) blended 50/50 with proven exp4 multiclass LightGBM, to improve class 2 detection while preserving class 0/1 accuracy via the two-stage probability decomposition",,macro_f1,,false,0.1,,SyntaxError: unterminated string literal (detected at line 1)
8,"3-model soft-voting LightGBM ensemble (seeds 42/43/44) on proven char_wb TF-IDF (3-6, 200k) + inv-freq weights, with lower LR=0.03, max 1000 rounds, feature_fraction=0.7, early stopping patience=50 — variance reduction through ensemble while squeezing more convergence from the best baseline",,macro_f1,0.535997,false,1800.6,,[TIMEOUT: training killed after 1800s]
9,"Switch from LightGBM to XGBoost with GPU acceleration (hist+lossguide, max_leaves=255, lr=0.05, 1000 rounds, early stopping 50) keeping the same proven char_wb TF-IDF (3-6, 200k) features and inv-freq weights from exp4 — XGBoost's different gradient computation and regularization on GPU may break through the 0.535 plateau",,macro_f1,0.399080,false,88.1,,
10,"Two-stage hierarchical LightGBM: restore exp4 proven params (200k char_wb 3-6, num_leaves=255, lr=0.05), add binary class-2-vs-rest detector (scale_pos_weight=43) + binary class0-vs-class1 classifier on balanced subset, blend 50/50 with multiclass model via hierarchical probability decomposition to directly fix the 43:1 class imbalance",,macro_f1,0.539032,true,879.1,243d1ca,
11,"Restore proven exp4/exp10 params across all 3 hierarchical LightGBMs (200k features, num_leaves=255, lr=0.05, min_child_samples=5, 600/500 boost rounds, ES patience=50) — current train.py had degraded to 50k features/num_leaves=63",,macro_f1,0.532969,false,916.4,,
