experiment_id,description,model_name,metric_name,metric_value,improved,duration_s,commit,notes
0,"baseline: LightGBM binary classifier with 5-fold stratified CV (OOF AUC) — chosen because N=891 is small (< 10k), gradient boosting dominates at this scale, and 5-fold CV is more reliable than a single 80/20 split for such small N",,roc_auc,0.867135,true,68.4,488f8d4,
1,"Added Titanic-specific feature engineering (Title, FamilySize, HasCabin, Deck, FarePerPerson, interactions) and Optuna hyperparameter tuning with 200 trials/5-fold CV to push LightGBM well beyond baseline 0.867",,roc_auc,,false,0.2,,"subprocess.CalledProcessError: Command '['/opt/venv/bin/python', '-m', 'pip', 'install', 'optuna', '-q']' returned non-zero exit status 1."
2,"Fixed optuna import (sys.path), added group-median age imputation by Title×Pclass, WomenChild feature, FareBin, and extra interaction features; expanded Optuna search to 300 trials",,roc_auc,0.889318,true,514.1,752d497,
3,"Added fold-safe smoothed group survival target encoding for ticket groups and surname/family groups (Bayesian smoothing with m=5) — these two features capture correlated survival patterns within travel parties and families, which is one of the strongest known signals for Titanic beyond individual attributes",,roc_auc,0.868629,false,496.3,,
4,"Ensemble of LightGBM (Optuna-tuned 200 trials) + XGBoost (Optuna-tuned 100 trials) + CatBoost (fixed params, native categoricals) with equal-weight averaging — model diversity across three GBM implementations typically yields 1-2% AUC gain over any single model, and CatBoost's built-in categorical handling may capture patterns that label-encoded models miss",,roc_auc,0.894865,true,428.5,930c1e2,
5,"Added Optuna tuning for CatBoost (80 trials) to match LGB/XGB tuning quality, plus ExtraTrees and RandomForest as diverse ensemble members with multi-strategy blending (equal, AUC-weighted, GBM3-only)",,roc_auc,0.899123,true,666.1,6d9cb95,
6,"Added logistic regression + SVM base models for linear/kernel diversity, then stacked all 7 OOF predictions with LR and LightGBM meta-learners (evaluated on independent CV folds) — stacking typically gains 0.003-0.008 AUC over simple averaging by learning optimal non-equal weights",,roc_auc,0.899123,false,662.8,,
7,"Added sklearn MLPClassifier as 6th ensemble member (Optuna-tuned 50 trials, different inductive bias from trees) plus 4 new rank-based features: SurnameSize, AgePctileInSex, FarePctileInPclass, and DeckOrd (ordinal cabin deck proximity to lifeboats)",,roc_auc,0.900044,true,795.3,a1c27bd,
8,"Added SVM (RBF kernel, Optuna-tuned 40 trials) as 7th diverse ensemble member, 3 new targeted binary features (IsMother, MaleAdult3rd, FemaleHighClass capturing explicit Titanic survival rules), and rank-based ensemble blending as additional aggregation option",,roc_auc,0.899850,false,866.8,,
9,"Added HistGradientBoostingClassifier as 7th ensemble member (Optuna-tuned 40 trials, different regularization path from LGB/XGB/CatBoost), plus 6 new targeted features: IsInfant (age<5), AgeSexPclass (3-way categorical), Pclass_IsAlone, IsMother, MaleAdult3rd, TicketNumeric/LogTicketNumeric (ship location proxy)",,roc_auc,0.900223,true,852.3,b9a5f42,
10,"Added repeated K-fold CV (2 seeds) to average OOF predictions across independent fold splits (reduces variance), 3 new features (FemaleHighClass, FemaleAlone, AgeFare), rank-average blending, and no-forest blend variant",,roc_auc,0.896723,false,932.2,,
11,"Added KNN classifier as 8th ensemble member (Optuna-tuned, instance-based inductive bias), plus CabinSide (even/odd cabin number as port/starboard proxy) and FareZScoreInPclass (z-score within class) features; multiple blend variants ensure KNN only helps if it adds diversity",,roc_auc,0.900667,true,872.8,3b0181d,
12,"Added FemaleHighClass feature (female in top 2 classes, highest survival group), Optuna blend weight optimization (500 trials, direct OOF AUC maximization), rank-average blends (scale-robust aggregation), and cross-validated LR/LGB meta-learner stacking on 8 OOF predictions to push past 0.9007",,roc_auc,0.902622,true,873.3,80920c4,
13,"Added DART LightGBM as 9th ensemble member (dropout-based regularization vs shrinkage) with Optuna tuning (25 trials), plus 3-seed averaging for LGB/XGB/CatBoost in final CV to reduce stochastic variance, and extended meta-learner with pairwise GBM product features to capture inter-model agreement",,roc_auc,,false,0.1,,SyntaxError: unterminated string literal (detected at line 1)
14,"Fixed broken train.py (exp13 SyntaxError), added DART LightGBM as 9th ensemble member (dropout regularization, 25 Optuna trials, fixed rounds — no early stopping), added 3 ticket-group composition features (FemaleRatio/HasChild/MinAge — no leakage), extended meta-learner with pairwise GBM interaction features",,roc_auc,0.901908,false,1691.3,,
15,"Added TicketOrig and SurnameOrig as native CatBoost categorical features (kept in preprocess_catboost, dropped from preprocess_encoded for other models) — CatBoost's internal Ordered Target Statistics will learn fold-safe group survival patterns from ticket/surname groups, capturing the key ""travel party"" signal; also added FemaleAlone, MaleAlone, and Age_x_FamilySize interaction features.",,roc_auc,0.901844,false,992.4,,
16,"Added feature-enhanced stacking: augmented meta-learner input with 12 key original features (Sex, Pclass, WomenChild, FemaleHighClass, etc.) alongside OOF predictions so the meta-learner can condition on passenger subgroups where base models systematically disagree; also added 3 new interaction features (IsAlone×Age, WomenChild×LogFarePerPerson, TicketFreq×FamilySize) and restored valid train.py from best_train.py base.",,roc_auc,0.901599,false,871.3,,
17,"Fixed broken train.py (restored from best_train.py), added Optuna hyperparameter tuning for ExtraTrees and RandomForest (previously fixed/untuned — the last un-tuned ensemble members), added multi-seed LGB training (3 seeds) for variance reduction in OOF predictions, and added 3 new interaction features (Title_IsAlone, Female_x_Cabin, Child_x_Pclass).",,roc_auc,0.904800,true,1080.6,998b464,
18,"Added 3-seed averaging for XGB and CatBoost in final CV (same variance-reduction strategy as LGB in exp17), plus XGB/RF meta-learners and a 4-model meta-ensemble to increase stacking diversity — expected ~0.001-0.003 gain from reduced OOF variance across all 3 major GBMs.",,roc_auc,0.902723,false,1024.5,,
