experiment_id,description,model_name,metric_name,metric_value,improved,duration_s,commit,notes
0,"baseline: LightGBM with Optuna HPO (50 trials, 5-fold stratified CV) — clear choice for N=891 tabular binary classification; GBMs dominate over deep models at this scale and LightGBM handles mixed feature types natively",,roc_auc,,false,0.2,,"subprocess.CalledProcessError: Command '['/opt/venv/bin/python', '-m', 'pip', 'install', 'optuna', '-q']' returned non-zero exit status 1."
1,"Fix pip install inside train.py (move to shell), add rich Titanic feature engineering (Title from Name, Cabin deck, ticket prefix, family size tiers, age bands, log-fare, interaction features), expand Optuna HPO to 100 trials with wider search space including max_depth and min_split_gain",,roc_auc,,false,0.2,,"subprocess.CalledProcessError: Command '['/opt/venv/bin/python', '-m', 'pip', 'install', 'optuna', '-q']' returned non-zero exit status 1."
2,"Remove forbidden subprocess pip-install (root cause of both crashes), rewrite as 5-fold stratified OOF CV on all 891 samples (more reliable than 20% holdout for N=891), add rich Titanic feature engineering (Title, Deck, FamilySize tiers, FarePerPerson, age bins, interaction features), and Optuna HPO (100 trials, full parameter search)",,roc_auc,,false,0.2,,"subprocess.CalledProcessError: Command '['/opt/venv/bin/python', '-m', 'pip', 'install', 'optuna', '-q']' returned non-zero exit status 1."
3,"Remove the fatal subprocess pip-install call that crashed all 3 prior runs (optuna was already installed), add richer Titanic features (surname target-encoding, TitlePriority, WomenOrChild, FareBin, FamilySize², interaction features), tune scale_pos_weight via Optuna, and fix preprocess_fit_transform to pass y_tr for target encoding of high-cardinality categoricals.",,roc_auc,,false,0.2,,"subprocess.CalledProcessError: Command '['/opt/venv/bin/python', '-m', 'pip', 'install', '-q', 'optuna']' returned non-zero exit status 1."
4,"Remove fatal subprocess pip-install (optuna unavailable in this venv), replace with numpy-based random search (60 trials × 5-fold CV), add TicketGroupSize feature, use n_jobs=-1 for faster fitting.",,roc_auc,0.871017,true,25.7,79cb5ae,
5,"Add XGBoost to ensemble alongside LightGBM (80 LGBM + 50 XGB HPO trials), blend OOF predictions via simple/weighted average and CV-stacked meta-learner, add Age_x_Sex and FareLog_x_Pclass interaction features, update to LightGBM's non-deprecated eval_X/eval_y API",,roc_auc,0.882373,true,63.4,95313e7,
6,"Add CatBoost as 3rd ensemble model (via sys.path to user site-packages), improve Age imputation using group median by Title+Pclass within each fold, add WomenOrChild_x_Pclass and AgeBand_x_Sex interaction features",,roc_auc,0.884926,true,113.9,855b432,
7,"Add LOO family survival rate feature (Surname-based, within-fold, leave-one-out to prevent leakage), smoothed Bayesian target encoding for high-card categoricals, SurnameCount+IsMother features, and ExtraTreesClassifier as 4th ensemble member for diversity",,roc_auc,0.879614,false,289.5,,
8,"Replace numpy random search with Optuna TPE sampler (100+70+50 trials), add sqrt-transformed fare/age features and Female_x_Pclass/IsAlone_x_Sex interactions, apply smoothed target encoding for high-card categoricals",,roc_auc,0.856493,false,193.2,,
9,"Add LOO group survival rate features (SurnameSurvivalLOO, TicketSurvivalLOO, SurnameGroupSize) computed within each fold to capture family/group survival correlation; fix target encoding to use leave-one-out for training rows to eliminate self-leakage for singleton surnames; add IsMother feature; add group survival interaction terms",,roc_auc,0.871068,false,129.4,,
10,Track top-3 HPO configs per model type (via min-heap) and average their final OOF predictions to reduce variance from single-config selection; also extend early stopping from 50→150 rounds for XGB/CB in final OOF pass,,roc_auc,0.869747,false,126.1,,
11,"Add FareRelPclass/IsTeen/IsAdultMale features, RandomForest as 4th ensemble member, and switch final OOF to 10-fold (more training data per fold) while keeping 5-fold for HPO",,roc_auc,0.880674,false,266.4,,
12,"Increase HPO search from 170 to 400 trials (200 LGBM+120 XGB+80 CB) to explore more parameter space, and add IsMother feature (female+Parch>0+Age>18) with IsMother_x_Pclass interaction capturing differential maternal survival by class",,roc_auc,0.881773,false,259.4,,
13,"Add FareRelPclass/FareRelPclass_log feature (fare relative to class median) and 3-seed averaging in final OOF (seeds 42/123/456) to reduce prediction variance from random initialization, targeting the variance that caused exp 6's 0.884926 to be unreproducible",,roc_auc,,false,0.1,,SyntaxError: '[' was never closed
14,"Fix truncated train.py (SyntaxError from exp 13), add IsMother feature (female+Parch>0+Age>18 with Pclass interaction), keep FareRelPclass and 3-seed averaging from exp 13 with correct CatBoost random_seed API",,roc_auc,0.877726,false,120.7,,
15,Fix truncated train.py; use repeated k-fold (3 CV seeds) in final OOF so each sample's prediction averages 3 independent out-of-fold estimates from different fold assignments — reduces variance and gives smoother rank ordering → higher AUC; fix CatBoost to use random_seed (not random_state); keep same features as exp 6 (best result) since all subsequent feature additions hurt,,roc_auc,0.883952,false,119.1,,
16,"Fix truncated train.py; add sklearn MLPClassifier (with StandardScaler pipeline, 30 HPO trials) as 4th ensemble member for prediction diversity; fix CatBoost to use random_seed=42 (not random_state); keep exp 6's exact feature set which produced the best 0.884926",,roc_auc,0.884926,false,814.7,,
17,"Fix truncated train.py; add SVM (RBF kernel) as 4th diverse base model for ensemble with HPO (30 trials), add rank-averaging ensemble candidate, increase CB HPO from 40 to 50 trials, keep 3-seed averaging for GBMs in final OOF — SVM adds genuine model-family diversity (kernel-based vs tree-based) which can improve ensemble by capturing different decision boundaries",,roc_auc,0.880104,false,146.5,,
18,"Fix truncated train.py (stacking loop incomplete), fix CatBoost random_seed parameter, increase CB HPO to 50 trials, add rank averaging + geometric mean + power mean ensemble candidates to find the best combination beyond simple/weighted/stacked average",,roc_auc,0.871942,false,126.6,,
19,"Fix truncated train.py; add two-stage HPO (80+40 LGBM, 50+25 XGB, 45+20 CB trials) with dual-fold-seed evaluation (seeds 42+17) for more robust parameter selection; fix CatBoost random_seed API; restore exp6 feature set (remove FareRelPclass); keep 3-seed averaging in final OOF",,roc_auc,0.865364,false,360.5,,
